"estacion","lat","lng","coord"
"Acatitla",19.364737,-99.005892,"19.364737,-99.005892"
"Aculco",19.374069,-99.108095,"19.374069,-99.108095"
"Agrícola Oriental",19.404835,-99.069901,"19.404835,-99.069901"
"Allende",19.435514,-99.137406,"19.435514,-99.137406"
"Apatlaco",19.379292,-99.109597,"19.379292,-99.109597"
"Aquiles Serdán",19.490423,-99.19487,"19.490423,-99.19487"
"Aragón",19.451236,-99.095886,"19.451236,-99.095886"
"Atlalilco",19.356134,-99.101315,"19.356134,-99.101315"
"Auditorio",19.425498,-99.191995,"19.425498,-99.191995"
"Autobuses del Norte",19.478973,-99.140668,"19.478973,-99.140668"
"Azcapotzalco",19.490989,-99.186416,"19.490989,-99.186416"
"Balbuena",19.423231,-99.102302,"19.423231,-99.102302"
"Balderas",19.42744,-99.149036,"19.42744,-99.149036"
"Barranca del Muerto",19.360648,-99.190149,"19.360648,-99.190149"
"Bellas Artes",-33.436578,-70.644411,"-33.436578,-70.644411"
"Bondojito",19.46461,-99.111958,"19.46461,-99.111958"
"Bosque de Aragón",19.458115,-99.069192,"19.458115,-99.069192"
"Boulevard Puerto Aéreo",19.41967,-99.09595,"19.41967,-99.09595"
"Buenavista",19.446603,-99.153199,"19.446603,-99.153199"
"Calle 11",19.3205,-99.0857,"19.3205,-99.0857"
"Camarones",19.479135,-99.190063,"19.479135,-99.190063"
"Canal del Norte",19.449112,-99.116507,"19.449112,-99.116507"
"Canal de San Juan",19.398683,-99.059365,"19.398683,-99.059365"
"Candelaria",19.428837,-99.119511,"19.428837,-99.119511"
"Centro Médico",19.406637,-99.155753,"19.406637,-99.155753"
"Cerro de la Estrella",19.356012,-99.085522,"19.356012,-99.085522"
"Chabacano",19.408438,-99.135754,"19.408438,-99.135754"
"Chapultepec",19.420783,-99.176288,"19.420783,-99.176288"
"Chilpancingo",19.4059,-99.1686,"19.4059,-99.1686"
"Ciudad Azteca",19.534595,-99.0275,"19.534595,-99.0275"
"Ciudad Deportiva",19.408357,-99.091229,"19.408357,-99.091229"
"Colegio Militar",19.449354,-99.172254,"19.449354,-99.172254"
"Constitución de 1917",19.34593,-99.063892,"19.34593,-99.063892"
"Constituyentes",19.411858,-99.191265,"19.411858,-99.191265"
"Consulado",19.457893,-99.113932,"19.457893,-99.113932"
"Copilco",19.335887,-99.176652,"19.335887,-99.176652"
"Coyoacán",19.361417,-99.170709,"19.361417,-99.170709"
"Coyuya",19.398521,-99.113545,"19.398521,-99.113545"
"Cuatro Caminos",19.459592,-99.215899,"19.459592,-99.215899"
"Cuauhtémoc",19.425862,-99.154701,"19.425862,-99.154701"
"Cuitláhuac",19.457448,-99.182038,"19.457448,-99.182038"
"Culhuacán",19.337,-99.109,"19.337,-99.109"
"Deportivo 18 de Marzo",19.483747,-99.126549,"19.483747,-99.126549"
"Deportivo Oceanía",19.451034,-99.07917,"19.451034,-99.07917"
"División del Norte",19.380021,-99.158885,"19.380021,-99.158885"
"Doctores",19.421612,-99.143372,"19.421612,-99.143372"
"Ecatepec",19.515301,-99.035997,"19.515301,-99.035997"
"Eduardo Molina",19.451378,-99.105434,"19.451378,-99.105434"
